address,maxClaimable
0x7148e036fd51f479473e460e82b71eb3cd610733,1
0x437e94074ecb72fc754034caddb014d2f83f6388,1
0x2175F2a2E71889b663D337914457F43357d6805A,1
0x5FAcC086be55FCe66565A6D90f9591c6Be81B2DC,1
0x037ac478992E23340Fbd4114f218943037916300,1
0xd7D38689aDf2A2a23D18bfA9C9605968C31afb6d,1
0xc1fC0cFB73c5A5543fF7EDFBa8BbDCb9FB1A37F9,1
0x75950b8F47D5233178a4646Fd1237f5E0b6bE03B,1
0x4A79807023eBAe5e181756e378bd8Ec695a06dE6,1
0xA4FC420d76aDA3725d93dd98652C25538B069E21,1
0x19Ea060b41087C8b1b35a7bF58eF114cc48a9e8D,1
0x721422dBC9b9660843E11d9963A924804cbBc4ca,1
0x4E91CC438165DeE06fD3F3aDe172DfCB0d6fF515,1
0x09dbE191065884cF36C18bfa5A9Fde973edC86E3,1
0x612527c4e2e2E0b9D31E18d16711028413b70575,1
0x77703e4a75caE77ab54C4C4079801e6eBE275495,1
0x80BA1f37fe1208d55125063a37e1cC01B62b52C3,1
0xE22fF97757349B5257353953E2fE8E4E93E0a450,1
0x542c4EF6fD94C161711a84FB04349B50e316DA5E,1
0xDb25afDB6b1556A11C5e29aCeEDdf497A038A09B,1
0x88888190464c2b35f5DBb6E630c80c3807D6f3c2,1
0xab6B28b555805Af64a076b9D36Ef933CcFFc8423,1
0xB74c662581D106dd467966A7f16F47E10D64fBe2,1
0x117ef17075C903ABB970856F3e6CF2dB5F07B7E7,1
0x04d4fDEF14e5ebd62b24F64B9aD8D9AC39A7CdD3,1
0xdEAE84D5068916F0F45b809CfF91e4604551e6C8,1
0xE332eBcF92B2dc0D99Db6ed436E34eDDF502d758,1
0xAbe7e989dBeC6DCb6a88Ac167625804c34F4d505,1
0xF8E95deA18151Ff99A73b210C9b865725f7E4E35,1
0x3c829485cbC7B154F6f39141734167de965B0665,1
0xf767d7b0ef25eec965df91141139899c6a256e18,1
0x640Aaa84d40aD811bCEb467A1C95FF406eAbf7E2,1
